期間,總計,關稅,礦區稅,所得稅,所得稅-營利事業所得稅,所得稅-綜合所得稅,遺產稅,贈與稅,貨物稅,證券交易稅,期貨交易稅,營業稅,印花稅,使用牌照稅,土地稅,土地稅-田賦,土地稅-地價稅,土地稅-土地增值稅,房屋稅,娛樂稅,契稅,教育臨時捐,公賣利益(應繳庫數),菸酒稅,金融保險業營業稅,健康福利捐,特種貨物稅及勞務稅
2007M12,"91,325.815","7,444.919",0.279,"26,471.678","8,225.982","18,245.696","2,185.899","1,749.882","11,269.088","8,291.923",578.591,"1,563.968",428.014,253.676,"22,740.643",-,"16,380.373","6,360.270",312.289,143.722,"1,207.814",0.858,-,"4,294.913",687.933,"1,699.726",-
2008M01,"124,654.593","7,780.881",-,"28,852.586","3,085.228","25,767.358","1,221.930",575.714,"10,907.165","10,218.414",746.918,"47,042.279","1,139.136",847.799,"6,794.160",-,916.662,"5,877.498",278.140,157.453,"1,217.000",0.440,-,"3,840.023","1,464.373","1,570.182",-
2008M02,"53,908.718","5,939.511",-,"26,607.413","2,817.433","23,789.980","1,019.834",409.815,"13,032.269","5,752.029",404.077,"-11,969.779",307.250,668.832,"3,779.204",-,314.177,"3,465.027",155.006,131.584,706.108,0.407,-,"4,763.997",197.793,"2,003.368",-
2008M03,"125,377.774","6,470.789",-,"26,823.122","3,353.924","23,469.198","2,277.074",381.707,"10,239.397","11,116.363",754.747,"44,356.746","1,146.355","1,710.827","5,706.800",-,488.183,"5,218.617",269.034,148.278,"1,135.947",0.128,-,"3,409.876","7,984.525","1,446.059",-
2008M04,"102,943.988","7,289.637",-,"20,114.512",-857.367,"20,971.879","1,903.422",452.434,"13,905.608","11,523.208",683.383,-618.620,383.063,"33,230.176","5,674.206",-,488.958,"5,185.248","1,327.352",147.104,"1,325.306",0.164,-,"3,739.625",269.036,"1,594.372",-
2008M05,"248,331.911","6,783.791",-,"101,831.207","71,303.459","30,527.748","5,535.657",440.930,"10,984.673","10,677.453",652.266,"45,410.805","1,322.999","12,922.175","6,186.819",-,342.973,"5,843.846","33,372.382",139.863,"1,418.742",0.120,-,"4,109.385","5,005.425","1,537.219",-
2008M06,"392,821.176","6,698.094",-,"332,543.842","193,049.423","139,494.419","1,987.389",394.812,"11,524.428","7,382.058",663.731,"-1,440.548",415.304,788.844,"6,296.079",-,40.892,"6,255.187","17,694.775",134.381,"1,281.784",0.106,-,"4,417.151",263.655,"1,775.291",-
2008M07,"81,916.027","7,353.053",-,"-14,459.757","1,418.233","-15,877.990","2,155.489",755.819,"9,888.406","7,718.856",709.557,"48,007.075","1,371.165",585.131,"5,546.103",-,329.059,"5,217.044",582.858,144.796,"1,178.878",0.251,-,"4,129.019","4,693.005","1,556.323",-
2008M08,"80,564.434","6,584.019",-,"45,160.885","6,521.725","38,639.160","1,222.116",362.753,"9,827.914","6,675.841",597.748,"-2,970.964",435.464,581.828,"4,634.263",-,311.443,"4,322.820",469.555,165.574,939.591,1.492,-,"4,063.384",224.569,"1,588.402",-
2008M09,"216,855.763","6,322.831",-,"125,594.739","76,089.131","49,505.608","1,933.758",253.306,"8,683.633","6,406.735",621.022,"48,834.570","1,233.347",398.887,"4,071.294",-,367.792,"3,703.502",445.304,163.892,867.873,0.302,-,"4,540.032","4,631.949","1,852.289",-
