期間,總件數_原始值,總件數_年增率(%),室外集會_原始值,室外集會_年增率(%),室外遊行_原始值,室外遊行_年增率(%),室內集會_原始值,室內集會_年增率(%),申請核准_原始值,申請核准_年增率(%),申請不核准_原始值,申請不核准_年增率(%),未申請_原始值,未申請_年增率(%),政治性_原始值,政治性_年增率(%),社會性_原始值,社會性_年增率(%),經濟性_原始值,經濟性_年增率(%),涉外性_原始值,涉外性_年增率(%),其他活動性質_原始值,其他活動性質_年增率(%),使用警力(人次)_原始值,使用警力(人次)_年增率(%)
2012M07,206,-9.25,188,-2.08,18,-48.57,-,--,123,-21.66,1,--,82,17.14,132,-12.00,58,13.73,7,133.33,2,0.00,7,-66.67,"9,654",-7.71
2012M08,187,-23.36,174,-12.12,13,-71.74,-,--,104,-31.13,14,--,69,-25.81,117,-15.22,50,-24.24,3,-40.00,1,0.00,16,-52.94,"9,631",-22.79
2012M09,197,-33.89,183,-27.09,14,-70.21,-,--,103,-54.02,2,--,92,24.32,134,-39.37,44,-15.38,2,-66.67,1,-50.00,16,-5.88,"10,988",-27.31
2012M10,160,-71.17,144,-70.43,16,-76.47,-,--,104,-77.49,0,-100.00,56,-39.13,100,-77.48,47,-26.56,1,-96.77,0,-100.00,12,-7.69,"7,848",-77.01
2012M11,221,-75.39,189,-76.14,32,-69.81,-,--,139,-82.62,2,100.00,80,-17.53,138,-82.66,62,5.08,8,-74.19,0,-100.00,13,18.18,"10,734",-80.75
2012M12,250,-87.76,232,-84.73,18,-96.56,-,--,142,-92.71,1,-50.00,107,16.30,159,-91.69,74,10.45,9,-73.53,1,0.00,7,-74.07,"14,721",-84.97
2013M01,237,-84.23,203,-70.92,34,-95.78,-,--,159,-88.76,1,-90.00,77,-1.28,180,-87.46,32,-11.11,14,-41.67,0,--,11,37.50,"13,249",-87.93
2013M02,123,-2.38,112,-2.61,11,0.00,-,--,74,-3.90,1,--,48,-2.04,96,47.69,20,-60.00,1,-80.00,0,--,6,0.00,"9,530",102.98
2013M03,215,16.85,196,18.07,19,5.56,-,--,145,51.04,0,--,70,-20.45,129,29.00,68,9.68,8,-27.27,0,-100.00,10,11.11,"12,882",15.05
2013M04,279,34.13,264,43.48,15,-37.50,-,--,173,61.68,2,0.00,104,5.05,133,22.02,119,43.37,12,71.43,0,--,15,66.67,"14,353",67.07
2013M05,262,-7.09,247,-1.98,15,-50.00,-,--,174,22.54,0,-100.00,88,-32.82,151,-5.62,93,-6.06,9,80.00,2,0.00,7,-56.25,"14,720",-33.32
2013M06,171,-16.18,159,-18.46,12,33.33,-,--,86,-7.53,0,-100.00,85,-20.56,79,-26.17,76,-6.17,7,0.00,1,--,8,-11.11,"8,124",-15.34
2013M07,166,-19.42,161,-14.36,5,-72.22,-,--,78,-36.59,1,0.00,87,6.10,87,-34.09,63,8.62,7,0.00,0,-100.00,9,28.57,"12,790",32.48
2013M08,191,2.14,155,-10.92,36,176.92,-,--,95,-8.65,10,-28.57,86,24.64,77,-34.19,94,88.00,7,133.33,0,-100.00,13,-18.75,"19,692",104.46
2013M09,167,-15.23,133,-27.32,34,142.86,-,--,90,-12.62,2,0.00,75,-18.48,99,-26.12,53,20.45,5,150.00,0,-100.00,10,-37.50,"13,477",22.65
2013M10,177,10.62,108,-25.00,69,331.25,-,--,102,-1.92,3,--,72,28.57,116,16.00,46,-2.13,2,100.00,0,--,13,8.33,"11,014",40.34
